Datum,Video Nr.,Score,Level,Datei
2025-09-10 20:19,1,27,Silber 🥈,
2025-09-10 20:22,2,54,Gold 🥇,
2025-09-10 20:26,3,54,Gold 🥇,test_video_2.mp4
2025-09-10 20:27,4,54,Gold 🥇,test_video_2.mp4
2025-09-10 20:28,5,27,Silber 🥈,test_video.mp4
2025-09-10,6,73,Gold 🥇,test_video_1.mp4
2025-09-10,7,73,Gold 🥇,test_video_1.mp4
2025-09-10,8,73,Gold 🥇,test_video_1.mp4
2025-09-10,9,54,Gold 🥇,test_video_2.mp4
2025-09-11,10,54,Gold 🥇,test_video_2.mp4
2025-09-11,11,73,Gold 🥇,test_video_1.mp4
2025-09-11,12,27,Silber 🥈,test_video_1.mp4
